grid_cell,ba,lat,lon,pr,distance_to_grid,population,surface_area_ofs,surface_area_ons
756,Alberta.a,53.5,-111.25,Alberta,32.8847063,7962,0,2060.85
757,Alberta.a,53,-111.25,Alberta,13.9209247,12707,0,2316.99
758,Alberta.a,52.5,-111.25,Alberta,12.0235945,11791,0,2343.98
759,Alberta.a,52,-111.25,Alberta,10.0196544,3177,0,2370.79
76,British Columbia.a,58.5,-130.625,British Columbia,95.195036,0,0,1808.04
760,Alberta.a,51.5,-111.25,Alberta,4.4044478,171,0,2397.42
761,Alberta.a,51,-111.25,Alberta,18.3296757,1142,0,2423.87
762,Alberta.a,50.5,-111.25,Alberta,25.9591418,0,0,2450.13
763,Alberta.a,50,-111.25,Alberta,26.3861416,68852,0,2476.21
764,Alberta.a,49.5,-111.25,Alberta,13.3995476,0,0,2502.1
765,Alberta.a,49,-111.25,Alberta,68.0691416,3471,0,2275.01
766,Alberta.a,59.5,-110.625,Alberta,113.875221,0,0,1560.68
767,Alberta.a,59,-110.625,Alberta,177.2201687,0,0,1187.98
768,Alberta.a,58.5,-110.625,Alberta,122.8450959,0,0,803.57
769,Alberta.a,58,-110.625,Alberta,70.405645,0,0,2037.75
77,British Columbia.a,58,-130.625,British Columbia,49.425737,380,0,2037.75
770,Alberta.a,57.5,-110.625,Alberta,31.9834247,0,0,2066.41
771,Alberta.a,57,-110.625,Alberta,29.5395399,0,0,2094.91
772,Alberta.a,56.5,-110.625,Alberta,22.5945162,0,0,2123.25
773,Alberta.a,56,-110.625,Alberta,21.9826335,0,0,1721.14
774,Alberta.a,55.5,-110.625,Alberta,12.7133018,0,0,1961.5
775,Alberta.a,55,-110.625,Alberta,9.3888397,0,0,1986.57
776,Alberta.a,54.5,-110.625,Alberta,8.7890094,0,0,1787.98
777,Alberta.a,54,-110.625,Alberta,1.9347051,16581,0,2036.24
778,Alberta.a,53.5,-110.625,Alberta,22.0185542,2123,0,2060.85
779,Alberta.a,53,-110.625,Alberta,27.6906644,20744,0,2316.99
78,British Columbia.a,57.5,-130.625,British Columbia,65.8941024,0,0,1859.77
780,Alberta.a,52.5,-110.625,Alberta,9.3352294,689,0,2343.98
781,Alberta.a,52,-110.625,Alberta,2.2375453,1900,0,2370.79
782,Alberta.a,51.5,-110.625,Alberta,11.4207015,1236,0,2397.42
783,Alberta.a,51,-110.625,Alberta,25.0890626,1411,0,2423.87
784,Alberta.a,50.5,-110.625,Alberta,36.9768125,148,0,2450.13
785,Alberta.a,50,-110.625,Alberta,9.7335161,7524,0,2476.21
786,Alberta.a,49.5,-110.625,Alberta,30.6026101,0,0,2502.1
787,Alberta.a,49,-110.625,Alberta,85.7479907,0,0,2527.79
788,Saskatchewan.a,59.5,-110,Saskatchewan,78.7578554,0,0,1560.68
789,Saskatchewan.a,59,-110,Saskatchewan,101.1839236,0,0,395.99
79,British Columbia.a,57,-130.625,British Columbia,31.6723348,74,0,2094.91
790,Saskatchewan.a,58.5,-110,Saskatchewan,148.8845327,0,0,2008.93
791,Saskatchewan.a,58,-110,Saskatchewan,98.6241637,0,0,2037.75
792,Saskatchewan.a,57.5,-110,Saskatchewan,59.1050516,0,0,2066.41
793,Saskatchewan.a,57,-110,Saskatchewan,57.7948291,0,0,2094.91
794,Saskatchewan.a,56.5,-110,Saskatchewan,62.2119067,831,0,1910.92
795,Saskatchewan.a,56,-110,Saskatchewan,58.4142611,2553,0,1721.14
796,Saskatchewan.a,55.5,-110,Saskatchewan,58.8801636,0,0,2179.44
797,Saskatchewan.a,55,-110,Saskatchewan,37.5669152,0,0,1986.57
798,Saskatchewan.a,54.5,-110,Saskatchewan,18.2662015,0,0,1564.48
799,Saskatchewan.a,54,-110,Saskatchewan,48.0980269,3346,0,2036.24
8,British Columbia.a,59.5,-136.875,British Columbia,477.0676667,0,0,1853.31
80,British Columbia.a,56.5,-130.625,British Columbia,24.4397819,0,0,2123.25
800,Saskatchewan.a,53.5,-110,Saskatchewan,23.0520181,5341,0,2289.83
801,Saskatchewan.a,53,-110,Saskatchewan,27.5222995,16882,0,2316.99
802,Saskatchewan.a,52.5,-110,Saskatchewan,7.4991762,1883,0,2109.58
803,Saskatchewan.a,52,-110,Saskatchewan,43.3509047,3192,0,2370.79
804,Saskatchewan.a,51.5,-110,Saskatchewan,36.2123666,695,0,2397.42
805,Saskatchewan.a,51,-110,Saskatchewan,20.61858,2378,0,2423.87
806,Saskatchewan.a,50.5,-110,Saskatchewan,9.9424782,1817,0,2450.13
807,Saskatchewan.a,50,-110,Saskatchewan,39.542641,665,0,2476.21
808,Saskatchewan.a,49.5,-110,Saskatchewan,59.5777377,3512,0,2502.1
809,Saskatchewan.a,49,-110,Saskatchewan,99.9618591,393,0,2527.79
81,British Columbia.a,56,-130.625,British Columbia,37.6648177,517,0,1721.14
810,Saskatchewan.a,59.5,-109.375,Saskatchewan,43.8252595,0,0,1170.51
811,Saskatchewan.a,59,-109.375,Saskatchewan,76.763877,0,0,395.99
812,Saskatchewan.a,58.5,-109.375,Saskatchewan,126.67594,0,0,1808.04
813,Saskatchewan.a,58,-109.375,Saskatchewan,122.1015541,0,0,2037.75
814,Saskatchewan.a,57.5,-109.375,Saskatchewan,93.4690487,0,0,1859.77
815,Saskatchewan.a,57,-109.375,Saskatchewan,93.0317954,0,0,2094.91
816,Saskatchewan.a,56.5,-109.375,Saskatchewan,97.5123036,0,0,1698.6
817,Saskatchewan.a,56,-109.375,Saskatchewan,91.8630119,37,0,1506
818,Saskatchewan.a,55.5,-109.375,Saskatchewan,87.8908572,919,0,1525.61
819,Saskatchewan.a,55,-109.375,Saskatchewan,69.1718636,0,0,2207.29
82,British Columbia.a,55.5,-130.625,British Columbia,64.0903211,0,0,435.89
820,Saskatchewan.a,54.5,-109.375,Saskatchewan,56.568331,0,0,2234.98
821,Saskatchewan.a,54,-109.375,Saskatchewan,61.9922218,1796,0,2036.24
822,Saskatchewan.a,53.5,-109.375,Saskatchewan,48.7034034,3008,0,2060.85
823,Saskatchewan.a,53,-109.375,Saskatchewan,48.517435,3712,0,2316.99
824,Saskatchewan.a,52.5,-109.375,Saskatchewan,73.366333,2439,0,2343.98
825,Saskatchewan.a,52,-109.375,Saskatchewan,26.9662408,3298,0,2370.79
826,Saskatchewan.a,51.5,-109.375,Saskatchewan,47.4749034,2025,0,2397.42
827,Saskatchewan.a,51,-109.375,Saskatchewan,58.2514137,5920,0,2423.87
828,Saskatchewan.a,50.5,-109.375,Saskatchewan,45.5406835,404,0,2450.13
829,Saskatchewan.a,50,-109.375,Saskatchewan,79.3159289,698,0,2228.59
83,British Columbia.a,55,-130.625,British Columbia,79.434959,0,0,662.19
830,Saskatchewan.a,49.5,-109.375,Saskatchewan,129.1903055,887,0,2502.1
